PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Max Strus,CLE,CLE vs. OKC,10/27/2023,L,38,8,3,14,21.4,2,11,18.2,0,0,-,0,5,5,4,2,1,2,1,8,27
Isaac Okoro,CLE,CLE vs. OKC,10/27/2023,L,28,10,3,8,37.5,1,3,33.3,3,4,75,4,3,7,2,2,1,1,3,-7,29.4
Evan Mobley,CLE,CLE vs. OKC,10/27/2023,L,34,14,5,12,41.7,0,0,-,4,6,66.7,2,13,15,3,0,2,2,4,-9,40.5
Grant Williams,DAL,DAL vs. BKN,10/27/2023,W,29,5,2,6,33.3,1,4,25,0,0,-,0,6,6,0,0,0,2,5,-4,10.2
Kyrie Irving,DAL,DAL vs. BKN,10/27/2023,W,34,17,6,17,35.3,1,4,25,4,4,100,1,6,7,6,0,0,0,2,-7,34.4
Tim Hardaway Jr.,DAL,DAL vs. BKN,10/27/2023,W,30,19,6,17,35.3,3,7,42.9,4,4,100,1,3,4,1,0,0,1,2,13,24.3
Dereck Lively II,DAL,DAL vs. BKN,10/27/2023,W,17,9,4,4,100,0,0,-,1,2,50,1,1,2,0,0,1,1,0,1,13.4
Seth Curry,DAL,DAL vs. BKN,10/27/2023,W,9,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,1,1,1,2.5
Dwight Powell,DAL,DAL vs. BKN,10/27/2023,W,13,11,4,4,100,1,1,100,2,2,100,2,0,2,0,1,0,0,0,-6,16.4
Dante Exum,DAL,DAL vs. BKN,10/27/2023,W,4,2,1,2,50,0,1,0,0,0,-,0,0,0,0,1,1,0,0,-1,8
Derrick Jones Jr.,DAL,DAL vs. BKN,10/27/2023,W,14,4,2,5,40,0,2,0,0,0,-,0,1,1,1,0,0,1,1,1,5.7
Maxi Kleber,DAL,DAL vs. BKN,10/27/2023,W,26,0,0,3,0,0,0,-,0,0,-,1,4,5,2,0,0,0,1,10,9
Luka Doncic,DAL,DAL vs. BKN,10/27/2023,W,36,49,16,25,64,9,14,64.3,8,10,80,1,9,10,7,0,0,0,1,9,71.5
Josh Green,DAL,DAL vs. BKN,10/27/2023,W,28,7,2,7,28.6,0,3,0,3,6,50,1,2,3,2,3,0,3,2,8,19.6
Aaron Gordon,DEN,DEN @ MEM,10/27/2023,W,30,10,5,11,45.5,0,1,0,0,1,0,1,1,2,3,3,1,1,3,8,27.9
Nikola Jokic,DEN,DEN @ MEM,10/27/2023,W,35,22,8,14,57.1,1,4,25,5,6,83.3,3,9,12,7,1,1,9,1,6,43.9
Julian Strawther,DEN,DEN @ MEM,10/27/2023,W,5,0,0,2,0,0,0,-,0,0,-,0,0,0,0,0,0,0,2,-2,0
Kentavious Caldwell-Pope,DEN,DEN @ MEM,10/27/2023,W,35,8,3,10,30,2,6,33.3,0,0,-,0,2,2,1,5,1,0,1,6,29.9
Jamal Murray,DEN,DEN @ MEM,10/27/2023,W,34,22,7,17,41.2,4,9,44.4,4,4,100,0,1,1,5,0,1,3,2,8,30.7
Christian Braun,DEN,DEN @ MEM,10/27/2023,W,19,5,2,6,33.3,1,4,25,0,2,0,1,3,4,2,1,0,1,1,0,14.8
Peyton Watson,DEN,DEN @ MEM,10/27/2023,W,18,9,3,4,75,2,3,66.7,1,2,50,0,3,3,0,1,3,1,3,-4,23.6
Michael Porter Jr.,DEN,DEN @ MEM,10/27/2023,W,29,9,3,7,42.9,2,5,40,1,1,100,1,12,13,3,0,0,1,4,4,28.1
Reggie Jackson,DEN,DEN @ MEM,10/27/2023,W,22,16,7,13,53.8,2,5,40,0,0,-,0,2,2,6,0,1,0,0,-4,30.4
Zeke Nnaji,DEN,DEN @ MEM,10/27/2023,W,13,7,3,4,75,0,0,-,1,2,50,0,1,1,0,0,2,1,1,-2,13.2
Joe Harris,DET,DET @ CHA,10/27/2023,W,11,2,1,3,33.3,0,1,0,0,0,-,0,0,0,1,1,0,0,2,3,6.5
Jaden Ivey,DET,DET @ CHA,10/27/2023,W,23,18,8,14,57.1,2,6,33.3,0,0,-,0,2,2,4,1,0,2,4,-2,27.4
Marvin Bagley III,DET,DET @ CHA,10/27/2023,W,13,14,5,9,55.6,0,1,0,4,5,80,0,4,4,1,0,0,0,0,7,20.3
Killian Hayes,DET,DET @ CHA,10/27/2023,W,29,6,2,10,20,1,3,33.3,1,2,50,0,3,3,3,2,1,3,4,-7,20.1
Cade Cunningham,DET,DET @ CHA,10/27/2023,W,24,12,4,13,30.8,2,5,40,2,2,100,1,1,2,6,1,0,5,6,7,21.4
Ausar Thompson,DET,DET @ CHA,10/27/2023,W,30,6,2,9,22.2,0,1,0,2,2,100,4,9,13,6,0,1,3,5,10,30.6
Isaiah Stewart,DET,DET @ CHA,10/27/2023,W,36,15,6,11,54.5,2,5,40,1,2,50,1,6,7,1,0,1,4,3,6,23.9
Jalen Duren,DET,DET @ CHA,10/27/2023,W,35,14,7,8,87.5,0,0,-,0,0,-,6,11,17,3,1,2,5,3,5,42.9
Marcus Sasser,DET,DET @ CHA,10/27/2023,W,8,0,0,1,0,0,1,0,0,0,-,0,1,1,1,0,0,1,1,3,1.7
Alec Burks,DET,DET @ CHA,10/27/2023,W,31,24,5,10,50,3,7,42.9,11,12,91.7,0,4,4,2,1,1,0,1,28,37.8
Jonathan Kuminga,GSW,GSW @ SAC,10/27/2023,W,26,12,5,11,45.5,1,3,33.3,1,2,50,1,4,5,0,0,0,2,3,9,16
Gary Payton II,GSW,GSW @ SAC,10/27/2023,W,18,7,2,4,50,1,3,33.3,2,2,100,0,0,0,1,1,0,2,3,-3,9.5
Kevon Looney,GSW,GSW @ SAC,10/27/2023,W,28,8,4,6,66.7,0,0,-,0,0,-,3,9,12,6,3,1,1,3,4,42.4
Klay Thompson,GSW,GSW @ SAC,10/27/2023,W,33,18,7,12,58.3,2,4,50,2,2,100,0,3,3,4,1,0,3,4,4,27.6
Stephen Curry,GSW,GSW @ SAC,10/27/2023,W,35,41,14,19,73.7,7,10,70,6,6,100,1,3,4,4,2,0,4,0,10,53.8
Trayce Jackson-Davis,GSW,GSW @ SAC,10/27/2023,W,5,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,0,1,7,1.2
Moses Moody,GSW,GSW @ SAC,10/27/2023,W,21,10,4,5,80,2,3,66.7,0,0,-,0,3,3,1,3,0,1,0,11,23.1
Dario Saric,GSW,GSW @ SAC,10/27/2023,W,14,5,2,5,40,1,4,25,0,0,-,1,3,4,1,1,0,1,4,-6,13.3
Andrew Wiggins,GSW,GSW @ SAC,10/27/2023,W,27,11,5,13,38.5,0,3,0,1,2,50,1,4,5,3,0,2,2,4,2,25.5
Chris Paul,GSW,GSW @ SAC,10/27/2023,W,33,10,5,12,41.7,0,2,0,0,0,-,0,2,2,12,3,0,3,2,2,36.4
Jeff Green,HOU,HOU @ SAS,10/27/2023,L,21,10,4,4,100,0,0,-,2,2,100,0,1,1,1,0,0,0,1,-1,12.7
Reggie Bullock Jr.,HOU,HOU @ SAS,10/27/2023,L,11,0,0,1,0,0,1,0,0,0,-,0,3,3,0,0,0,1,1,3,2.6
Boban Marjanovic,HOU,HOU @ SAS,10/27/2023,L,7,4,2,2,100,0,0,-,0,0,-,0,0,0,1,0,0,0,1,3,5.5
