PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Amen Thompson,HOU,HOU @ SAS,10/27/2023,L,13,4,2,4,50,0,1,0,0,2,0,0,1,1,3,0,1,1,1,1,11.7
Fred VanVleet,HOU,HOU @ SAS,10/27/2023,L,45,24,10,20,50,2,10,20,2,3,66.7,0,8,8,12,0,0,3,5,-9,48.6
Dillon Brooks,HOU,HOU @ SAS,10/27/2023,L,39,17,7,13,53.8,1,2,50,2,2,100,0,2,2,2,1,0,2,4,4,23.4
Jalen Green,HOU,HOU @ SAS,10/27/2023,L,38,22,10,20,50,2,6,33.3,0,0,-,1,4,5,4,0,0,2,2,-3,32
Alperen Sengun,HOU,HOU @ SAS,10/27/2023,L,41,25,11,18,61.1,1,3,33.3,2,6,33.3,6,8,14,7,2,1,6,6,-4,55.3
Jabari Smith Jr.,HOU,HOU @ SAS,10/27/2023,L,37,13,5,16,31.3,2,8,25,1,4,25,4,5,9,0,1,0,2,4,-6,24.8
Jae'Sean Tate,HOU,HOU @ SAS,10/27/2023,L,14,3,1,2,50,0,1,0,1,1,100,0,0,0,0,3,0,1,1,-8,11
Paul George,LAC,LAC @ UTA,10/27/2023,L,38,36,9,17,52.9,3,9,33.3,15,15,100,1,3,4,1,0,0,2,1,3,40.3
Kawhi Leonard,LAC,LAC @ UTA,10/27/2023,L,37,25,10,22,45.5,4,10,40,1,3,33.3,3,6,9,5,2,0,1,1,9,48.3
Robert Covington,LAC,LAC @ UTA,10/27/2023,L,20,4,1,3,33.3,1,3,33.3,1,2,50,0,1,1,2,2,0,0,4,-6,14.2
Ivica Zubac,LAC,LAC @ UTA,10/27/2023,L,19,6,3,6,50,0,0,-,0,2,0,0,2,2,0,0,2,1,2,1,13.4
Russell Westbrook,LAC,LAC @ UTA,10/27/2023,L,37,4,2,4,50,0,1,0,0,0,-,1,8,9,4,1,1,5,4,-4,21.8
Nicolas Batum,LAC,LAC @ UTA,10/27/2023,L,30,8,3,4,75,2,3,66.7,0,0,-,0,2,2,3,1,3,0,4,-4,26.9
Mason Plumlee,LAC,LAC @ UTA,10/27/2023,L,12,3,1,1,100,0,0,-,1,2,50,1,3,4,0,0,0,1,2,-11,6.8
Norman Powell,LAC,LAC @ UTA,10/27/2023,L,25,20,7,10,70,2,4,50,4,4,100,0,3,3,1,1,0,1,2,3,27.1
Bones Hyland,LAC,LAC @ UTA,10/27/2023,L,22,12,5,10,50,2,5,40,0,0,-,0,2,2,1,1,0,3,2,-1,15.9
Marcus Smart,MEM,MEM vs. DEN,10/27/2023,L,31,20,7,13,53.8,3,7,42.9,3,3,100,1,1,2,5,5,0,2,3,-6,42.9
Xavier Tillman,MEM,MEM vs. DEN,10/27/2023,L,34,13,5,9,55.6,1,3,33.3,2,4,50,2,6,8,2,3,2,5,5,-5,35.6
Desmond Bane,MEM,MEM vs. DEN,10/27/2023,L,32,15,4,17,23.5,1,10,10,6,6,100,1,2,3,3,2,0,2,3,-8,27.1
David Roddy,MEM,MEM vs. DEN,10/27/2023,L,15,0,0,4,0,0,2,0,0,0,-,0,2,2,2,1,0,2,3,-8,6.4
Derrick Rose,MEM,MEM vs. DEN,10/27/2023,L,22,16,6,14,42.9,2,3,66.7,2,2,100,2,2,4,3,1,0,3,2,-1,25.3
John Konchar,MEM,MEM vs. DEN,10/27/2023,L,30,2,1,2,50,0,1,0,0,0,-,0,6,6,2,1,2,0,1,3,21.2
Ziaire Williams,MEM,MEM vs. DEN,10/27/2023,L,31,11,3,10,30,0,3,0,5,5,100,2,7,9,3,0,0,4,0,0,22.3
